year	Oct	Nov	Dec	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep
1968	5.15	8.57	6.49	6.1	5.59	5.19	35.58	75.32	64.45	21.82	7.84	6.72
1969	6.31	9.48	8.68	8.27	7.7	13.55	47.96	96.38	69.63	33.72	11.76	9.21
1970	10.42	10.22	10.09	10.24	9.02	11.51	32.12	47	18.44	9.54	5.11	3.46
1971	4.9	6.4	6.59	6.44	5.06	7.6	19.64	41.17	27.31	10.69	2.93	2.06
1972	2.84	4.85	4.81	4.96	4	3.94	33.8	64.74	57.04	19.61	9.64	5.99
1973	5.52	8.96	8.05	6.56	8.06	13.8	21.37	55.34	35.59	9.93	3.87	2.75
1974	2.49	4.25	5.28	4.99	4.55	8.79	25.01	50.04	42.89	17.58	5.27	3.24
1975	2.4	2.43	3.15	3.9	4.11	4.32	20.78	39.29	34.82	8.16	2.67	1.33
1976	1.8	1.89	3.11	3.92	4.59	3.71	26.47	61.35	120.69	62.28	20.05	4.35
1977	5.84	6.04	5.36	4.77	4.77	8.62	27.86	57.92	57.1	17.02	5.91	5.73
1978	4.15	5.09	7.24	6.3	5.97	10.36	30.72	62.44	79.86	38.66	11.62	4.26
1979	2.32	1.25	6.5	6.77	4.09	3.98	24.75	43.7	45.24	13.87	3.18	2.46
1980	2.14	9.57	3.39	4.1	3.82	5.5	34.5	49.94	41.98	8.53	2.24	2.56
1981	1.99	2.54	4.71	4.84	4.65	5.95	13.72	50.63	60.08	22.26	5.25	3.32
1982	1.99	3.61	3.82	3.73	5.66	6.45	19.88	68.55	56.7	16.62	5.44	2.69
1983	5.22	5.53	5.07	4.91	3.52	5.89	20.7	61.36	55.39	11.75	3.71	2.27
1984	2.35	2.41	4.98	4.15	4.63	7.18	18.4	28.66	45.33	16.74	3.79	1.93
1985	3.77	13.15	10.03	9.29	8.46	8.71	30.7	59.37	56.36	20.43	6.53	3.48
1986	2.41	3.22	4.38	4.28	3.83	5.85	28.04	41.14	41.58	15.23	4.76	1.5
1987	1.08	6.9	6.96	5.36	6.13	5.93	24.36	75.56	73.52	28.21	5.51	3.31
1988	3.79	9.69	9.27	6.89	5.69	9.4	27.4	93.85	96.15	60.41	19.07	4.88
1989	2.66	7.28	4.45	2.46	2.06	10.73	30.63	53.6	23.9	6.49	2.85	1.48
1990	2.81	9.31	16.14	6.09	4.31	6.48	22.28	59.17	53.43	16.02	5.64	2.51
1991	1.96	3.28	4.15	4.12	2.19	5.29	28.37	60.75	27.25	8.58	2.37	0.91
1992	1.43	4.47	3.48	3.1	5.06	8.16	25.04	65.06	106.13	44.31	13.76	4.91
1993	2.58	3.74	4.69	6.35	7.67	8.03	31.24	74.69	123.04	53.68	15.88	6.18
1994	4.78	6.66	7.08	7.4	5.23	5.62	33.35	68.61	53.79	17.59	5.48	4.04
1995	2.74	3.35	5.41	4.72	5.54	5.57	20.15	67.86	65.84	23.52	7.91	3.84
1996	3.99	6.14	4.82	3.37	6.18	7.45	21.01	53.82	38.58	9.65	2.9	1.79
1997	2.18	3.57	3.17	4.36	3.83	5.14	17.88	69.13	71.45	24.09	6.04	2.18
1998	5.7	7.98	7.88	7.38	7.41	9.22	25.86	42.23	17.71	12.63	4.44	1.77
1999	1.21	2.05	2.09	2.18	3.67	7.71	26.06	37.09	21.15	4.25	1.21	1.21
2000	1.21	2.1	2.77	2.54	3.04	3.93	21.17	31.09	18.03	4.34	1.34	0.74
2001	1.06	3.09	3.74	4.1	3.9	5.65	30.29	31.97	23.29	5.87	1.01	0.88
2002	0.89	2.13	2.91	5.93	4.38	7.93	29.72	55.21	76.25	24.51	5.11	1.93
2003	1.28	2.18	3.25	4.62	2.95	7.12	59.86	103.51	67.41	18.71	4.26	1.77
2004	1.48	10.26	5.85	5.08	5.58	15.29	21.48	63.75	60.18	18.59	4.71	2.19
2005	6.13	6.13	5.95	5.68	5.6	8.74	17.15	54.94	40.11	11.33	4.88	3.8
2006	2.7	4.26	2.97	2.66	3.19	24.94	80.26	93.59	60.72	15.57	4.59	3.23
2007	6.33	8.18	6.96	6.99	6.74	10.01	26.75	52.77	23.84	11.98	6.4	3.57
2008	3.3	4.34	5.75	7.49	4.24	13.71	38.66	44	23.68	6	2.71	1.54
2009	0.53	9.47	5.32	7.79	5.06	18.6	31.43	85.25	63.64	11.2	4.99	9.27
2010	3.93	11.34	6.22	7.98	7.79	19.41	35.7	76.13	56.8	16.49	7.49	4.54
2011	3.4	2.5	2.61	3.99	3.97	6.08	28.98	69.2	57.03	14.43	6.42	4.36
2012	3.38	4.98	4.86	4.7	3.94	4.27	37.45	79.09	43.1	13.35	5.94	4.23
2013	3.66	6.96	4.9	6.53	8.37	17.96	43.83	66.97	62.73	18.06	4.67	2.36
2014	2.73	3.52	4.94	4.89	5.41	9.25	31.87	59.78	23.9	7.32	4.12	3.04
2015	6.54	12.27	7.44	4.09	5.73	12.06	34.45	58.27	40.72	10.05	4.56	3.87
2016	2.99	9.14	6.79	5.96	8.65	22.97	32.25	74.68	48.58	18.05	7.11	3.85
2017	0.67	6.42	5.9	10.16	6.96	7.94	39.25	73.22	42.12	13.41	8.46	2.4
